stage,status,name
1,VERIFIED,stage-1
2,VERIFIED,stage-2
3,VERIFIED,stage-3
4,VERIFIED,stage-4
5,VERIFIED,stage-5
6,VERIFIED,stage-6
7,VERIFIED,stage-7
8,VERIFIED,stage-8
9,VERIFIED,stage-9
10,VERIFIED,stage-10
11,VERIFIED,stage-11
12,VERIFIED,stage-12
13,VERIFIED,stage-13
14,VERIFIED,stage-14
15,VERIFIED,stage-15
16,VERIFIED,stage-16
17,VERIFIED,stage-17
18,VERIFIED,stage-18
19,VERIFIED,stage-19
20,VERIFIED,AI hardened tool layer
21,VERIFIED,dashboard-surface-prep-21
22,VERIFIED,dashboard-action-prep-22
23,VERIFIED,dashboard-surface-inventory-23
24,VERIFIED,dashboard-button-matrix-24
25,VERIFIED,dashboard-switch-matrix-25
26,VERIFIED,dashboard-crud-matrix-26
27,PARTIAL,stage-27
28,PARTIAL,stage-28
29,PARTIAL,stage-29
30,PARTIAL,stage-30
31,PARTIAL,stage-31
32,PARTIAL,stage-32
33,PARTIAL,stage-33
34,PARTIAL,stage-34
35,PARTIAL,stage-35
36,PARTIAL,api-authentication-36
37,PARTIAL,api-authorization-idor-37
38,PARTIAL,api-validation-race-idempotency-38
39,VERIFIED,git-history-secret-hygiene-39
40,VERIFIED,roles-permission-attack-40
41,PARTIAL,csrf-xss-41
42,VERIFIED,ssrf-injection-path-42
43,PARTIAL,session-oauth-43
44,VERIFIED,upload-webhook-security-44
45,VERIFIED,stage-45-deps-sbom-trivy
46,PARTIAL,runtime-baseline-i-46
47,PARTIAL,runtime-baseline-ii-47
48,PARTIAL,ai-nitrado-perf-48
49,PARTIAL,memory-leak-audit-49
50,PARTIAL,load-test-50
51,PARTIAL,soak-test-51
52,PARTIAL,ram-node-heap-tuning-52
53,VERIFIED,dependency-audit-controlled-53
54,VERIFIED,passport-discord-migration-54
55,VERIFIED,inflight-glob-cleanup-55
56,VERIFIED,dashboard-bundle-codesplit-56
57,PARTIAL,dead-code-legacy-cleanup-57
58,PARTIAL,full-user-journey
59,PARTIAL,chaos
60,PARTIAL,gesamtaudit-60-code
61,PARTIAL,gesamtaudit-61-couplings
62,PARTIAL,gesamtaudit-62-prod-reality
63,PARTIAL,release-sha
64,PARTIAL,final-gate-1
65,PARTIAL,final-gate-2
66,PARTIAL,main-gate
67,BLOCKED,production-live
